sale_ID,sale_date,prod_ID,quantity
S000000001,10/09/2020,PD000001,30
S000000002,10/09/2020,PD000002,12
S000000003,10/09/2020,PD000006,7
S000000004,10/09/2020,PD000004,9
S000000005,11/09/2020,PD000001,132
S000000006,11/09/2020,PD000006,53
S000000007,12/09/2020,PD000007,156
S000000008,12/09/2020,PD000008,31
S000000009,12/09/2020,PD000001,12
S000000010,12/09/2020,PD000003,96
S000000011,13/09/2020,PD000002,23
S000000012,13/09/2020,PD000003,26
S000000013,13/09/2020,PD000005,72
S000000014,13/09/2020,PD000003,4
S000000015,15/09/2020,PD000004,64
S000000016,15/09/2020,PD000007,85
S000000017,15/09/2020,PD000008,25
S000000018,15/09/2020,PD000002,23
S000000019,15/09/2020,PD000007,75
S000000020,15/09/2020,PD000002,13
S000000021,16/09/2020,PD000008,35
S000000022,16/09/2020,PD000003,23
S000000023,16/09/2020,PD000005,42
S000000024,16/09/2020,PD000007,11
S000000025,16/09/2020,PD000008,53
