SalesID,Date,PurchaseID
S000000001,10/09/2020,PD000001
S000000002,10/09/2020,PD000002
S000000003,10/09/2020,PD000006
S000000004,10/09/2020,PD000004
S000000005,11/09/2020,PD000001
S000000006,11/09/2020,PD000006
S000000007,12/09/2020,PD000007
S000000008,12/09/2020,PD000008
S000000009,12/09/2020,PD000001
S000000010,12/09/2020,PD000003
S000000011,13/09/2020,PD000002
S000000012,13/09/2020,PD000003
S000000013,13/09/2020,PD000005
S000000014,13/09/2020,PD000003
S000000015,15/09/2020,PD000004
S000000016,15/09/2020,PD000007
S000000017,15/09/2020,PD000008
S000000018,15/09/2020,PD000002
S000000019,15/09/2020,PD000007
S000000020,15/09/2020,PD000002
S000000021,16/09/2020,PD000008
S000000022,16/09/2020,PD000003
S000000023,16/09/2020,PD000005
S000000024,16/09/2020,PD000007
S000000025,16/09/2020,PD000008
